名稱,股票代號,交易所,download_timestamp,process_timestamp
A&D,,,2026-06-14 04:15:19,2026-06-14 04:15:19
ABB,ABB,NYSE,2026-06-14 04:15:19,2026-06-14 04:15:19
ABB Group,,,2026-06-14 04:15:19,2026-06-14 04:15:19
AGY Holding Corp,,,2026-06-14 04:15:19,2026-06-14 04:15:19
ANSYS,ANSS,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
AT&T,T,NYSE,2026-06-14 04:15:19,2026-06-14 04:15:19
AWS,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Adidas,ADDYY,OTC,2026-06-14 04:15:19,2026-06-14 04:15:19
Advantest,6857.T,TSE,2026-06-14 04:15:19,2026-06-14 04:15:19
Affymetrix,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Airbnb,ABNB,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
Akamai Technologies,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Angelicoussis Shipping Group,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Ant Group,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Anthropic,,Private,2026-06-14 04:15:19,2026-06-14 04:15:19
Arrow Electronics,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Asklepios,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Atmel,,,2026-06-14 04:15:19,2026-06-14 04:15:19
BAE System,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Basic-fit,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Benchmark,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Bucher Industries AG,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Bunge,,,2026-06-14 04:15:19,2026-06-14 04:15:19
CHS,,,2026-06-14 04:15:19,2026-06-14 04:15:19
CITIZEN,,,2026-06-14 04:15:19,2026-06-14 04:15:19
CVS Health Corporation,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Classpass,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Cloudflare,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Coinbase,COIN,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
Coinbase Ventures,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Comcast,,,2026-06-14 04:15:19,2026-06-14 04:15:19
ComplyAdvantage,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Control4,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Creative Artists Agency,,,2026-06-14 04:15:19,2026-06-14 04:15:19
CrowdStrike,CRWD,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
Cube,,,2026-06-14 04:15:19,2026-06-14 04:15:19
DePuy Synthes,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Deloitte,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Deloitte Consulting LLP,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Dematic,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Depuy,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Dropbox,DBX,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
EMC,,,2026-06-14 04:15:19,2026-06-14 04:15:19
ENEOS控股株式會社,,,2026-06-14 04:15:19,2026-06-14 04:15:19
EVGA,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Entrust,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Ericsson,ERIC,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
Eventbrite,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Excelitas  Technologies,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Excelitas Technologies,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Excelsports Management,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Extreme Networks,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Fidor Bank,,,2026-06-14 04:15:19,2026-06-14 04:15:19
First Data,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Fiserv,,,2026-06-14 04:15:19,2026-06-14 04:15:19
FootLocker,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Fortinet,FTNT,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
GE Healthcare,,,2026-06-14 04:15:19,2026-06-14 04:15:19
GEA Group,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Golden Ocean Group,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Golden Union,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Google,GOOGL,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
HCA,,,2026-06-14 04:15:19,2026-06-14 04:15:19
HITACHI-LG DATA STORAGE,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Hexagon AB,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Hitachi Vantara,,,2026-06-14 04:15:19,2026-06-14 04:15:19
IBIDEN,,,2026-06-14 04:15:19,2026-06-14 04:15:19
IHH Healthcare Bhd,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Imagination,,Private,2026-06-14 04:15:19,2026-06-14 04:15:19
Imperva,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Ingram Micro Holding Corporation,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Integer Holdings  Corporation,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Integer Holdings Corporation,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Intersport,,,2026-06-14 04:15:19,2026-06-14 04:15:19
JBS,,,2026-06-14 04:15:19,2026-06-14 04:15:19
JSR株式會社,,,2026-06-14 04:15:19,2026-06-14 04:15:19
JX日鑛日石金屬株式會社(JX控股),,,2026-06-14 04:15:19,2026-06-14 04:15:19
JX金屬,,,2026-06-14 04:15:19,2026-06-14 04:15:19
KPMG,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Kaneka,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Karex Bhd,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Kobo,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Kontron,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Kraft Heinz Company,,,2026-06-14 04:15:19,2026-06-14 04:15:19
L&F,,,2026-06-14 04:15:19,2026-06-14 04:15:19
LB Lusem,,,2026-06-14 04:15:19,2026-06-14 04:15:19
LG,066570.KS,KRX,2026-06-14 04:15:19,2026-06-14 04:15:19
Lake Region Medical,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Lemonade,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Lusem,,,2026-06-14 04:15:19,2026-06-14 04:15:19
MAZAK,,,2026-06-14 04:15:19,2026-06-14 04:15:19
MLB,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Mandiant,,,2026-06-14 04:15:19,2026-06-14 04:15:19
McKesson,,,2026-06-14 04:15:19,2026-06-14 04:15:19
MedSource,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Meta,META,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
Meta Quest,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Minebea,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Mobileye,MBLY,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
Monster Worldwide,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Monzo,,,2026-06-14 04:15:19,2026-06-14 04:15:19
NBA,,,2026-06-14 04:15:19,2026-06-14 04:15:19
NCR Voyix,,,2026-06-14 04:15:19,2026-06-14 04:15:19
NHL,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Nanogen,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Napier,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Nasdaq,NDAQ,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
Nice Actimize,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Nike,NKE,NYSE,2026-06-14 04:15:19,2026-06-14 04:15:19
Nokia Network,NOK,NYSE,2026-06-14 04:15:19,2026-06-14 04:15:19
NuBank,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Okta,OKTA,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
OpenAI,,Private,2026-06-14 04:15:19,2026-06-14 04:15:19
PI Advanced Materials,,,2026-06-14 04:15:19,2026-06-14 04:15:19
PMC-Sierra,,,2026-06-14 04:15:19,2026-06-14 04:15:19
PTC,PTC,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
Palantir,PLTR,NYSE,2026-06-14 04:15:19,2026-06-14 04:15:19
Palo Alto Networks,PANW,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
Paypal,PYPL,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
Phillips-Medisize,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Phoenix,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Puma,PUMSY,OTC,2026-06-14 04:15:19,2026-06-14 04:15:19
RSA Security,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Radiant,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Radysis,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Resonac,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Robinhood,HOOD,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
SAS,,Private,2026-06-14 04:15:19,2026-06-14 04:15:19
SK microworks America,,,2026-06-14 04:15:19,2026-06-14 04:15:19
SKC Hi-Tech & Marketing,,,2026-06-14 04:15:19,2026-06-14 04:15:19
SKC KOLON PI,,,2026-06-14 04:15:19,2026-06-14 04:15:19
SK海力士,000660.KS,KRX,2026-06-14 04:15:19,2026-06-14 04:15:19
SPX Flow,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Saurer Group,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Schuler,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Shinwha,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Smart Modular Technologies,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Smith & Nephew,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Splunk,,Acquired,2026-06-14 04:15:19,2026-06-14 04:15:19
Star Bulk Carriers,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Starling,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Stripe,,Private,2026-06-14 04:15:19,2026-06-14 04:15:19
Stubhub,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Subway,,Private,2026-06-14 04:15:19,2026-06-14 04:15:19
Sumitomo Bakelite,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Supermicro,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Synaptics,,,2026-06-14 04:15:19,2026-06-14 04:15:19
TD Ameritrade,,,2026-06-14 04:15:19,2026-06-14 04:15:19
TD SYNNEX,,,2026-06-14 04:15:19,2026-06-14 04:15:19
TDK Electronics,6762.T,TSE,2026-06-14 04:15:19,2026-06-14 04:15:19
THK,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Tata,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Teradata,TDC,NYSE,2026-06-14 04:15:19,2026-06-14 04:15:19
Thermo Fisher Scientific,TMO,NYSE,2026-06-14 04:15:19,2026-06-14 04:15:19
TruNarrative,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Trumpf,,,2026-06-14 04:15:19,2026-06-14 04:15:19
VMware,VMW,NYSE,2026-06-14 04:15:19,2026-06-14 04:15:19
VisionTek,,,2026-06-14 04:15:19,2026-06-14 04:15:19
WISE,,,2026-06-14 04:15:19,2026-06-14 04:15:19
WONDERCORE,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Walmart,WMT,NYSE,2026-06-14 04:15:19,2026-06-14 04:15:19
Wasserman,,,2026-06-14 04:15:19,2026-06-14 04:15:19
WeFox,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Yelp,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Youtube,,,2026-06-14 04:15:19,2026-06-14 04:15:19
Zscaler,ZS,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
anytime fitness,,,2026-06-14 04:15:19,2026-06-14 04:15:19
damai.cn,,,2026-06-14 04:15:19,2026-06-14 04:15:19
dm,,,2026-06-14 04:15:19,2026-06-14 04:15:19
eTORO,,,2026-06-14 04:15:19,2026-06-14 04:15:19
fitbit,,,2026-06-14 04:15:19,2026-06-14 04:15:19
lifefitness,,,2026-06-14 04:15:19,2026-06-14 04:15:19
peloton,,,2026-06-14 04:15:19,2026-06-14 04:15:19
planet fitness,,,2026-06-14 04:15:19,2026-06-14 04:15:19
technogym,,,2026-06-14 04:15:19,2026-06-14 04:15:19
七彩虹集团,,,2026-06-14 04:15:19,2026-06-14 04:15:19
三井金屬,,,2026-06-14 04:15:19,2026-06-14 04:15:19
三井高科技,,,2026-06-14 04:15:19,2026-06-14 04:15:19
三安光電,,,2026-06-14 04:15:19,2026-06-14 04:15:19
三星半導體,005930.KS,KRX,2026-06-14 04:15:19,2026-06-14 04:15:19
三星顯示器,,,2026-06-14 04:15:19,2026-06-14 04:15:19
三菱化學控股,,,2026-06-14 04:15:19,2026-06-14 04:15:19
三菱瓦斯化學,,,2026-06-14 04:15:19,2026-06-14 04:15:19
三菱電機,6503.T,TSE,2026-06-14 04:15:19,2026-06-14 04:15:19
三電,,,2026-06-14 04:15:19,2026-06-14 04:15:19
上海醫藥集團,,,2026-06-14 04:15:19,2026-06-14 04:15:19
