代號,名稱,產業鏈代碼,產業鏈名稱,位置,子分類,上游公司,下游公司
2308,台達電,5300,人工智慧,上游,領域解決方案;系統整合;運算設備;電腦視覺;機器學習,,
2308,台達電,C200,醫療器材,中游/下游/上游,電子零組件、塑化材料、;醫療器材代理銷售;醫療器材研發、設計、,2459|敦吉;2476|鉅祥;3010|華立;3543|州巧;6838|台新藥;3665|貿聯-KY;1593|祺驊;3162|精確;3294|英濟;3303|岱稜;4183|福永生技;5356|協益;6151|晉倫;6275|元山;6577|勁豐;6913|鴻呈;7744|崴寶;8109|博大;3184|微邦;7850|寶泰生醫,2352|佳世達;2371|大同;3543|州巧;4104|佳醫;4164|承業醫;4720|德淵;6614|資拓宏宇;6645|金萬林-創;6838|台新藥;6918|愛派司;6931|青松健康;9917|中保科;5284|jpp-KY;1788|杏昌;3118|進階;3218|大學光;4116|明基醫;4138|曜亞;4175|杏一;5398|慕康生醫
2308,台達電,B000,休閒娛樂,上游,休閒車業,,
2308,台達電,R000,軟體服務,上游,應用/系統軟體設計開發,,
2308,台達電,F000,電腦及週邊設備,下游/上游,散熱片、風扇馬達、散熱模組;桌上型電腦;筆記型電腦;精簡型電腦;電源供應器,2388|威盛;3709|鑫聯大投控;8096|擎亞;AMD|超微半導體;INTC|英特爾;6189|豐藝;6233|旺玖;NVDA|輝達;2459|敦吉;3038|全台;5315|光聯;6167|久正;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星電子;005930.KS|三星顯示;2376|技嘉;3024|憶聲;3516|亞帝歐;5386|青雲,2317|鴻海;2324|仁寶;2331|精英;2353|宏碁;2356|英業達;2357|華碩;2362|藍天;2364|倫飛;2371|大同;2376|技嘉;2377|微星;2382|廣達;2430|燦坤;2483|百容;3005|神基;3231|緯創;4938|和碩;3213|茂訊;3709|鑫聯大投控;6140|訊達電腦
2308,台達電,X000,其他,上游,特殊照明業,,
2308,台達電,P000,電機機械,下游/上游,輸送機械及零配件;專用機械;傳動元件;電控元件,1532|勤美;2371|大同;2483|百容;1589|永冠-KY;2067|嘉鋼;4538|大詠城;4580|捷流閥業;6705|振躍精密;|勤美達國際;|江蘇吉鑫風能;|吉鑫科技;1504|東元;1526|日馳;1536|和大;1597|直得;2049|上銀;2233|宇隆;4540|全球傳動;4576|大銀微系統;4583|台灣精銳,1513|中興電;1530|亞崴;1540|喬福;1583|程泰;4526|東台;4562|穎漢;5007|三星;6606|建德工業;1590|亞德客-KY;3162|精確;4510|高鋒;4513|福裕;4533|協易機;4563|百德;6609|瀧澤科;7709|榮田;8092|建暐;4544|春日;4575|銓寶;|開拓重工
2308,台達電,I000,通信網路,下游,網路設備;無線通訊設備;光通訊設備,2459|敦吉;3169|亞信;6470|宇智;8096|擎亞;7661|皓德盛科技;INTC|英特爾;005930.KS|三星電子;QCOM|高通;2344|華邦電;2408|南亞科;3260|威剛;4973|廣穎電通;8084|巨虹;8088|品安;7866|丹立;7655|依得科;MU|美光;000660.KS|SK海力士;2466|冠西電;2476|鉅祥,
2308,台達電,G000,平面顯示器,上游,其他零組件,,2371|大同;2409|友達;2459|敦吉;3038|全台;3481|群創;6116|彩晶;6189|豐藝;6278|台表科;6916|華凌;8104|錸寶;8105|凌巨;5245|智晶;5315|光聯;8069|元太;6979|勝釩;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星顯示;|三星顯示器;2393|億光
2308,台達電,D000,半導體,下游/上游,IC設計;IC通路;IC模組;生產製程,2401|凌陽;3035|智原;3443|創意;5222|全訊;6533|晶心科;6695|芯鼎;3661|世芯-KY;3339|泰谷;3529|力旺;6423|億而得;6643|M31;8054|安國;8227|巨有科技;8299|群聯;6786|芯測;6842|瑞宇;7707|益芯科;7796|擷發科;ARM|安謀;CDNS|益華,2338|光罩;2438|翔耀;|大日本印刷;|豐創;|凸版印刷;2303|聯電;2330|台積電;2337|旺宏;2340|台亞;2344|華邦電;2371|大同;2408|南亞科;2434|統懋;2455|全新;3016|嘉晶;3532|台勝科;4919|新唐;5222|全訊;6770|力積電;8028|昇陽半導體
