位置,子分類,代號,名稱
上游,保險,2453,凌群
上游,保險,2867,三商壽
上游,保險,6910,德鴻
上游,保險,6816,捷智商訊
上游,保險,7781,昕力資*
上游,保險,7841,經貿聯網
上游,保險,,Lemonade
上游,保險,,WeFox
上游,保險,,眾安
上游,支付,2453,凌群
上游,支付,7722,LINEPAY
上游,支付,5478,智冠
上游,支付,6590,普鴻
上游,支付,6763,綠界科技*
上游,支付,6870,騰雲
上游,支付,7738,東聯互動
上游,支付,6741,91APP*-KY
上游,支付,6878,歐付寶
上游,支付,7781,昕力資*
上游,支付,7785,北祥科服
上游,支付,7819,精誠金融
上游,支付,7841,經貿聯網
上游,支付,7587,環球睿視
上游,支付,7680,美家人力
上游,支付,,支付寶
上游,支付,,Paypal
上游,支付,,Stripe
上游,支付,,WISE
上游,數位銀行,2453,凌群
上游,數位銀行,6614,資拓宏宇
上游,數位銀行,4953,緯軟
上游,數位銀行,6910,德鴻
上游,數位銀行,7781,昕力資*
上游,數位銀行,7785,北祥科服
上游,數位銀行,7841,經貿聯網
上游,數位銀行,,Fidor Bank
上游,數位銀行,,Monzo
上游,數位銀行,,NuBank
上游,數位銀行,,Starling
上游,監理法遵,2453,凌群
上游,監理法遵,2471,資通
上游,監理法遵,6614,資拓宏宇
上游,監理法遵,6865,偉康科技
上游,監理法遵,6910,德鴻
上游,監理法遵,6816,捷智商訊
上游,監理法遵,7781,昕力資*
上游,監理法遵,7785,北祥科服
上游,監理法遵,7826,極風雲創
上游,監理法遵,7841,經貿聯網
上游,監理法遵,,BAE System
上游,監理法遵,,Cube
上游,監理法遵,,Nice Actimize
上游,理財投資,2453,凌群
上游,理財投資,3158,嘉實
上游,理財投資,8284,三竹
上游,理財投資,7841,經貿聯網
上游,理財投資,7573,高曼
上游,理財投資,,億創理財
上游,理財投資,,Robinhood
上游,理財投資,,TD Ameritrade
上游,加密資產,2453,凌群
上游,加密資產,7781,昕力資*
上游,加密資產,7841,經貿聯網
上游,加密資產,,幣安
上游,加密資產,,Coinbase
上游,加密資產,,Coinbase Ventures
上游,加密資產,,eTORO
上游,數據分析,2453,凌群
上游,數據分析,2480,敦陽科
上游,數據分析,6614,資拓宏宇
上游,數據分析,6865,偉康科技
上游,數據分析,6870,騰雲
上游,數據分析,6910,德鴻
上游,數據分析,7714,創泓科技
上游,數據分析,6741,91APP*-KY
上游,數據分析,7781,昕力資*
上游,數據分析,7826,極風雲創
上游,數據分析,,甲骨文
上游,數據分析,,SAS
上游,數據分析,,Teradata
上游,資料聚合,2453,凌群
上游,資料聚合,2480,敦陽科
上游,資料聚合,6865,偉康科技
上游,資料聚合,6870,騰雲
上游,資料聚合,6741,91APP*-KY
上游,資料聚合,6816,捷智商訊
上游,資料聚合,7781,昕力資*
上游,資料聚合,7826,極風雲創
上游,資料聚合,,Fiserv
上游,資料聚合,,Nasdaq
上游,資料聚合,,Teradata
上游,數位身分,2453,凌群
上游,數位身分,2480,敦陽科
上游,數位身分,6865,偉康科技
上游,數位身分,7714,創泓科技
上游,數位身分,7781,昕力資*
上游,數位身分,7841,經貿聯網
上游,數位身分,,ComplyAdvantage
上游,數位身分,,Napier
上游,數位身分,,TruNarrative
