位置,子分類,代號,名稱,download_timestamp,process_timestamp
上游,藍寶石晶圓/晶片,2371,大同,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
上游,藍寶石晶圓/晶片,2491,吉祥全,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
上游,藍寶石晶圓/晶片,3383,新世紀,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
上游,藍寶石晶圓/晶片,6278,台表科,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
上游,藍寶石晶圓/晶片,3615,安可,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
上游,藍寶石晶圓/晶片,7648,百陽生技,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
上游,藍寶石晶圓/晶片,,京瓷,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
上游,藍寶石晶圓/晶片,,Mono Crystal,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
上游,藍寶石晶圓/晶片,,Rubicon,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,2360,致茂,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,2426,鼎元,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,2459,敦吉,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,2491,吉祥全,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,3583,辛耘,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,4755,三福化,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,5434,崇越,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,6224,聚鼎,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,6271,同欣電,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,6277,宏正,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,6278,台表科,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,6706,惠特,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,7795,長廣,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,8070,長華*,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,8374,羅昇,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,3114,好德,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,3388,崇越電,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,3490,單井,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,3551,世禾,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,4749,新應材,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,5536,聖暉*,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,6207,雷科,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,6218,豪勉,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,6223,旺矽,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,6261,久元,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,6597,立誠,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,6613,朋億*,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,8091,翔名,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,8109,博大,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,6729,機光科技,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,6812,梭特,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,7846,德揚,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,7896,喬越,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,7428,戴維,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,7648,百陽生技,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,,愛思強,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,,大陽日酸,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,生產製程、檢測設備及原物料,,Veeco,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,光源/磊晶,2340,台亞,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,光源/磊晶,2491,吉祥全,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,光源/磊晶,3383,新世紀,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,光源/磊晶,3714,富采,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,光源/磊晶,4956,光鋐,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
中游,光源/磊晶,6271,同欣電,2026-08-23 01:23:59 CST,2026-08-23 01:23:59 CST
