位置,子分類,代號,名稱,download_timestamp,process_timestamp
上游,高/低壓輸電設施,1513,中興電,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,1519,華城,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,1603,華電,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,1605,華新,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,1609,大亞,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,1612,宏泰,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,1615,大山,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,1618,合機,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,1623,大東電,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,2308,台達電,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,2360,致茂,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,2459,敦吉,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,3622,洋華,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,6278,台表科,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,6282,康舒,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,5381,光譜,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,7927,連距電機,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,,ABB Group,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,,大唐新能源,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,,EDF,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,,第一太陽能,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,,GE Vernova,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高/低壓輸電設施,SIEGY,西門子,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,配電管理設施,1513,中興電,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,配電管理設施,1519,華城,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,配電管理設施,2301,光寶科,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,配電管理設施,2308,台達電,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,配電管理設施,2360,致茂,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,配電管理設施,2459,敦吉,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,配電管理設施,3622,洋華,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,配電管理設施,6278,台表科,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,配電管理設施,6282,康舒,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,配電管理設施,6441,廣錠,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,配電管理設施,7927,連距電機,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,配電管理設施,,ABB,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,配電管理設施,,大唐新能源,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,配電管理設施,,EDF,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,配電管理設施,,第一太陽能,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,電網營造,1519,華城,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,電網營造,3622,洋華,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,電網營造,6278,台表科,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,電網營造,,ABB,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,電網營造,,ABB Group,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,電網營造,SIEGY,西門子,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,電網維運,3622,洋華,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,電網維運,6278,台表科,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,電網維運,,Enel S.p.A,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,電網維運,,Enel S.p.A.,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,電網維運,,PJM Interconnection,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,電網維運,,中國電力建設,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,電網維運,,國家電網,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高壓AMI,1513,中興電,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高壓AMI,2371,大同,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高壓AMI,3622,洋華,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高壓AMI,6278,台表科,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高壓AMI,5457,宣德,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高壓AMI,6648,斯其大,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高壓AMI,,ABB Group,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高壓AMI,,GE Vernova,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高壓AMI,,ITRON,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高壓AMI,,Landis+Gyr,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,高壓AMI,SIEGY,西門子,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,低壓AMI,1513,中興電,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,低壓AMI,2371,大同,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,低壓AMI,3622,洋華,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,低壓AMI,4588,玖鼎電力,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,低壓AMI,6278,台表科,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,低壓AMI,5457,宣德,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,低壓AMI,6648,斯其大,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,低壓AMI,,ABB Group,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,低壓AMI,,GE Vernova,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,低壓AMI,,ITRON,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,低壓AMI,,Landis+Gyr,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,低壓AMI,SIEGY,西門子,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,1513,中興電,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,2308,台達電,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,2352,佳世達,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,2371,大同,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,2412,中華電,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,3622,洋華,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,4588,玖鼎電力,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,6278,台表科,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,6614,資拓宏宇,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,6869,雲豹能源,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,6873,泓德能源,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,6994,富威電力,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,7740,熙特爾-創,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,8374,羅昇,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,3710,連展投控,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,5483,中美晶,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,6163,華電網,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,7842,天能綠電,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,6648,斯其大,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,7869,宏于電機,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,7890,明曜科技,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,7911,阿波羅電力,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,7921,台普威,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
上游,能源管理服務,7409,美格能,2026-08-02 02:53:42 CST,2026-08-02 02:53:42 CST
