位置,子分類,代號,名稱,download_timestamp,process_timestamp
上游,高爾夫球具業,6670,復盛應用,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,高爾夫球具業,8481,政伸,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,高爾夫球具業,8924,大田,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,高爾夫球具業,8928,鉅明,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,高爾夫球具業,8938,明安,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,高爾夫球具業,9960,邁達康,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,旅遊服務業,2731,雄獅,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,旅遊服務業,5706,鳳凰,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,旅遊服務業,2719,燦星旅,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,旅遊服務業,2734,易飛網,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,旅遊服務業,2743,山富,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,旅遊服務業,2745,五福,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,旅遊服務業,5301,寶得利,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,旅遊服務業,6961,旅天下,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,旅遊服務業,2733,維格餅家,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,旅遊服務業,7566,亞果遊艇,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,旅遊服務業,7748,鑫囍創業,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,旅遊服務業,7554,十鼓文創,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,旅遊服務業,7691,亞歆海洋,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,4994,傳奇,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,3064,泰偉,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,3083,網龍,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,3086,華義*,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,3293,鈊象,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,3546,宇峻,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,3687,歐買尬,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,5310,天剛,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,5478,智冠,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,6111,光聚晶電,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,6169,昱泉,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,6180,橘子,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,6542,隆中,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,7605,雲程在線,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,2465,麗臺,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,4946,辣椒,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,線上遊戲業,7584,樂意,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,娛樂服務業,1432,大魯閣,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,娛樂服務業,1532,勤美,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,娛樂服務業,2701,萬企,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,娛樂服務業,2705,六福,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,娛樂服務業,8462,柏文,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,娛樂服務業,9943,好樂迪,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,娛樂服務業,5263,智崴,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,娛樂服務業,5701,劍湖山,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,娛樂服務業,7760,享溫馨,2026-04-29 13:26:07,2026-04-29 13:26:07
上游,娛樂服務業,7819,精誠金融,2026-04-29 13:26:07,2026-04-29 13:26:07
