位置,子分類,代號,名稱,download_timestamp,process_timestamp
上游,IP設計,2401,凌陽,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,3035,智原,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,3443,創意,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,5222,全訊,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,6533,晶心科,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,6695,芯鼎,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,3661,世芯-KY,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,3339,泰谷,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,3529,力旺,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,6423,億而得,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,6643,M31,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,8054,安國,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,8227,巨有科技,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,8299,群聯,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,6786,芯測,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,6842,瑞宇,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,7707,益芯科,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,7796,擷發科,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,,安謀,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,,益華,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,,Imagination,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IP設計,,新思科技,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,2308,台達電,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,3014,聯陽,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,4961,天鈺,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,6415,矽力*-KY,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,3288,點晶,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,3527,聚積,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,6129,普誠,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,6138,茂達,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,,安華高科技,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,,博通,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,,美信,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,,德州儀器,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,5468,凱鈺,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,6568,宏觀,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,,海思半導體,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,,邁威爾,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,,PMC-Sierra,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,8016,矽創,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,6732,昇佳電子,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,2401,凌陽,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,2436,偉詮電,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,2454,聯發科,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,2458,義隆,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,3034,聯詠,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,3041,揚智,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,3150,鈺寶-創,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,3530,晶相光,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,4919,新唐,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,4952,凌通,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,6695,芯鼎,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,6756,威鋒電子,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,3073,天方能源,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,3122,笙泉,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,3268,海德威,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,3556,禾瑞亞,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,5236,凌陽創新,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,5272,笙科,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,5302,太欣,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,5487,通泰,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,6103,合邦,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,6237,驊訊,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,6462,神盾,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,6494,九齊,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,6684,安格,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,6720,久昌,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,7770,君曜,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,8024,佑華,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,8054,安國,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,8102,傑霖科技,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,6563,映智,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,2337,旺宏,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,2344,華邦電,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,2408,南亞科,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,3006,晶豪科,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,6531,愛普*,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,5351,鈺創,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,,美光,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,005930.KS,三星電子,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,,新帝公司,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,3259,鑫創,2026-04-29 13:25:58,2026-04-29 13:25:58
上游,IC設計,6485,點序,2026-04-29 13:25:58,2026-04-29 13:25:58
