位置,子分類,代號,名稱,download_timestamp,process_timestamp
上游,原材料,1723,中碳,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,2352,佳世達,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,3010,華立,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,4739,康普,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,5234,達興材料,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,6278,台表科,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,8215,明基材,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,8261,富鼎,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,1589,永冠-KY,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,3665,貿聯-KY,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,3388,崇越電,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,6509,聚和,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,8038,長園科,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,5227,立凱-KY,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,3616,泓辰,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,6555,榮炭,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,6990,華鉬,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,7816,來穎,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,7896,喬越,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,,L&F,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,,三菱化學控股,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,,Resonac,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,006400.KS,三星SDI,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,,上海杉杉,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,,昭和電工材料,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
上游,原材料,,優美科,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
中游,電池芯,2308,台達電,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
中游,電池芯,2360,致茂,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
中游,電池芯,6278,台表科,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
中游,電池芯,6558,興能高,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
中游,電池芯,6509,聚和,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
中游,電池芯,8038,長園科,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
中游,電池芯,6940,格斯科技*,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
中游,電池芯,7816,來穎,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
中游,電池芯,,寧德時代,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
中游,電池芯,051910.KS,LG化學,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
中游,電池芯,,樂金化學,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
中游,電池芯,6752.T,松下電器,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
中游,電池芯,006400.KS,三星SDI,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
下游,電池模組,2308,台達電,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
下游,電池模組,2360,致茂,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
下游,電池模組,2439,美律,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
下游,電池模組,2459,敦吉,2026-08-02 02:53:39 CST,2026-08-02 02:53:39 CST
