位置,子分類,代號,名稱,download_timestamp,process_timestamp
上游,中央處理器,2388,威盛,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,中央處理器,3709,鑫聯大投控,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,中央處理器,8096,擎亞,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,中央處理器,AMD,超微半導體,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,中央處理器,INTC,英特爾,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,晶片組,2388,威盛,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,晶片組,6189,豐藝,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,晶片組,3709,鑫聯大投控,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,晶片組,6233,旺玖,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,晶片組,AMD,超微半導體,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,晶片組,INTC,英特爾,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,晶片組,NVDA,輝達,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,面板,2459,敦吉,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,面板,3038,全台,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,面板,6189,豐藝,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,面板,3709,鑫聯大投控,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,面板,5315,光聯,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,面板,6167,久正,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,面板,000725.SZ,京東方,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,面板,034220.KS,LG顯示,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,面板,005930.KS,三星電子,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,面板,005930.KS,三星顯示,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,顯示器模組,2376,技嘉,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,顯示器模組,3024,憶聲,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,顯示器模組,3038,全台,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,顯示器模組,6189,豐藝,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,顯示器模組,3516,亞帝歐,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,顯示器模組,3709,鑫聯大投控,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,顯示器模組,5315,光聯,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,顯示器模組,5386,青雲,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,顯示器模組,6167,久正,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,顯示器模組,000725.SZ,京東方,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,顯示器模組,034220.KS,LG顯示,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,顯示器模組,005930.KS,三星電子,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,記憶體,2344,華邦電,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,記憶體,2408,南亞科,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,記憶體,2451,創見,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,記憶體,3135,凌航,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,記憶體,4967,十銓,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,記憶體,8271,宇瞻,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,記憶體,3260,威剛,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,記憶體,3709,鑫聯大投控,2026-04-29 13:25:42,2026-04-29 13:25:42
上游,記憶體,4973,廣穎電通,2026-04-29 13:25:42,2026-04-29 13:25:42
