位置,子分類,代號,名稱,download_timestamp,process_timestamp
上游,玻璃基板,3149,正達,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,玻璃基板,6405,悅城,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,玻璃基板,6246,臺龍,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,玻璃基板,,AGC株式会社,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,玻璃基板,,康寧,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,玻璃基板,,首德集團,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,PET膜,3303,岱稜,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,PET膜,6979,勝釩,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,PET膜,,日東,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,PET膜,,尾池工業,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,PET膜,,SK microworks America,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,PET膜,,SKC Film,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,ITO靶材,1785,光洋科,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,ITO靶材,,JX金屬,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,ITO靶材,,三井金屬,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,ITO靶材,,JX日鑛日石金屬株式會社(JX控股),2026-07-30 15:26:07,2026-07-30 15:26:07
上游,ITO靶材,,東曹,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,ITO導電玻璃,3615,安可,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,ITO導電玻璃,,蚌埠華益,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,ITO導電玻璃,,長信科技,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,ITO導電玻璃,,信利,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,ITO導電薄膜,4720,德淵,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,ITO導電薄膜,3663,鑫科,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,ITO導電薄膜,3678,聯享,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,ITO導電薄膜,,日東,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,ITO導電薄膜,,歐菲光,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,ITO導電薄膜,,長信科技,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,膠材,1717,長興,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,膠材,4764,雙鍵,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,膠材,5234,達興材料,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,膠材,8070,長華*,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,膠材,3388,崇越電,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,膠材,3430,奇鈦科,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,膠材,6899,創為精密,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,膠材,3585,聯致,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,膠材,3595,山太士,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,膠材,7896,喬越,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,膠材,,巴斯夫,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,膠材,,陶氏,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,膠材,,南亞,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,印刷材料(油墨),3444,利機,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,印刷材料(油墨),3585,聯致,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,印刷材料(油墨),,精工油墨,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,印刷材料(油墨),,太陽油墨,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,印刷材料(油墨),,帝國油墨,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,軟性電路板,3390,旭軟,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,軟性電路板,,日本旗勝,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,軟性電路板,,住友電氣工業,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,軟性電路板,,南韓永豐集團,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,控制IC,2458,義隆,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,控制IC,2459,敦吉,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,控制IC,3227,原相,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,控制IC,3556,禾瑞亞,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,控制IC,6563,映智,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,控制IC,,Atmel,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,控制IC,603160.SS,匯頂科技,2026-07-30 15:26:07,2026-07-30 15:26:07
上游,控制IC,,Synaptics,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,2429,銘旺科,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,2459,敦吉,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,3038,全台,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,3049,精金,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,3416,融程電,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,3481,群創,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,3622,洋華,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,8105,凌巨,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,3673,TPK-KY,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,3556,禾瑞亞,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,3623,富晶通,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,4729,熒茂,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,4995,晶達,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,5220,萬達光電,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,6899,創為精密,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,,日本顯示公司,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,,NCR Voyix,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,,三星顯示,2026-07-30 15:26:07,2026-07-30 15:26:07
中游,觸控面板,,歐菲光,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,行動電話,AAPL,蘋果,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,行動電話,,華為,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,行動電話,,三星電子,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,PDA,,Datalogic,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,PDA,,Honeywell,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,PDA,,Zebra Technologies,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,衛星定位系統,3632,研勤,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,衛星定位系統,,台灣國際航電,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,衛星定位系統,,Navico,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,衛星定位系統,,TomTom,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,公共資訊查詢站(Kiosk),3541,西柏,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,公共資訊查詢站(Kiosk),4995,晶達,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,公共資訊查詢站(Kiosk),,飛捷科技,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,公共資訊查詢站(Kiosk),,安迅資訊,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,公共資訊查詢站(Kiosk),,NCR Voyix,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,金融提款機(ATM),2427,三商電,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,金融提款機(ATM),4995,晶達,2026-07-30 15:26:07,2026-07-30 15:26:07
下游,金融提款機(ATM),,迪堡多富資訊,2026-07-30 15:26:07,2026-07-30 15:26:07
