位置,子分類,代號,名稱
上游,網路IC,2459,敦吉
上游,網路IC,3169,亞信
上游,網路IC,6470,宇智
上游,網路IC,8096,擎亞
上游,網路IC,7661,皓德盛科技
上游,網路IC,,英特爾
上游,網路IC,,三星電子
上游,微處理器,6470,宇智
上游,微處理器,8096,擎亞
上游,微處理器,,英特爾
上游,微處理器,,高通
上游,微處理器,,三星電子
上游,記憶體,2344,華邦電
上游,記憶體,2408,南亞科
上游,記憶體,3260,威剛
上游,記憶體,4973,廣穎電通
上游,記憶體,6470,宇智
上游,記憶體,8084,巨虹
上游,記憶體,8088,品安
上游,記憶體,8096,擎亞
上游,記憶體,7866,丹立
上游,記憶體,7655,依得科
上游,記憶體,,美光
上游,記憶體,,三星電子
上游,記憶體,,SK海力士
上游,主/被動元件,2459,敦吉
上游,主/被動元件,2466,冠西電
上游,主/被動元件,2476,鉅祥
上游,主/被動元件,2478,大毅
上游,主/被動元件,3026,禾伸堂
上游,主/被動元件,3450,聯鈞
上游,主/被動元件,6792,詠業
上游,主/被動元件,8011,台通
上游,主/被動元件,3081,聯亞
上游,主/被動元件,3152,璟德
上游,主/被動元件,3221,台嘉碩
上游,主/被動元件,3234,光環
上游,主/被動元件,3491,昇達科
上游,主/被動元件,3710,連展投控
上游,主/被動元件,4908,前鼎
上游,主/被動元件,4979,華星光
上游,主/被動元件,6204,艾華
上游,主/被動元件,6284,佳邦
上游,主/被動元件,6470,宇智
上游,主/被動元件,6530,創威
上游,主/被動元件,6818,連騰
上游,主/被動元件,6820,連訊
上游,主/被動元件,6980,鐳洋科技
上游,主/被動元件,7812,稜研科技*
上游,主/被動元件,,村田製作所
上游,主/被動元件,,太陽誘電
上游,主/被動元件,,東電化
上游,主/被動元件,,TDK Electronics
上游,印刷電路板,4909,新復興
上游,印刷電路板,5439,高技
上游,印刷電路板,6470,宇智
上游,印刷電路板,,Benchmark
上游,印刷電路板,,偉創力
上游,印刷電路板,,環球韋爾
上游,印刷電路板,,捷普
上游,塑膠/金屬機殼,2459,敦吉
上游,塑膠/金屬機殼,2476,鉅祥
上游,塑膠/金屬機殼,3607,谷崧
上游,塑膠/金屬機殼,5284,jpp-KY
上游,塑膠/金屬機殼,1336,台翰
上游,塑膠/金屬機殼,3095,及成
上游,塑膠/金屬機殼,3290,東浦
上游,塑膠/金屬機殼,3294,英濟
上游,塑膠/金屬機殼,5457,宣德
上游,塑膠/金屬機殼,5460,同協
上游,塑膠/金屬機殼,6470,宇智
上游,塑膠/金屬機殼,7744,崴寶
上游,塑膠/金屬機殼,8240,華宏
上游,塑膠/金屬機殼,,富智康
上游,塑膠/金屬機殼,,立鎧
上游,線材,1615,大山
上游,線材,1617,榮星
上游,線材,1618,合機
上游,線材,2392,正崴
上游,線材,2459,敦吉
上游,線材,3011,今皓
上游,線材,3023,信邦
上游,線材,6192,巨路
上游,線材,6197,佳必琪
上游,線材,6205,詮欣
上游,線材,8011,台通
上游,線材,3665,貿聯-KY
上游,線材,3388,崇越電
上游,線材,5457,宣德
上游,線材,6190,萬泰科
上游,線材,6220,岳豐
上游,線材,6470,宇智
上游,線材,6913,鴻呈
上游,線材,6784,天凱科技
上游,線材,,耐克森
上游,線材,,普睿司曼
上游,線材,,住友電氣工業
上游,其他零組件,2459,敦吉
上游,其他零組件,3058,立德
上游,其他零組件,3138,耀登
上游,其他零組件,4545,銘鈺
上游,其他零組件,6426,統新
上游,其他零組件,6743,安普新
上游,其他零組件,6792,詠業
上游,其他零組件,3665,貿聯-KY
上游,其他零組件,3388,崇越電
上游,其他零組件,5460,同協
上游,其他零組件,6275,元山
上游,其他零組件,6470,宇智
上游,其他零組件,6546,正基
上游,其他零組件,6588,東典光電
上游,其他零組件,6597,立誠
