位置,子分類,代號,名稱,download_timestamp,process_timestamp
上游,金屬材料,1617,榮星,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,金屬材料,2476,鉅祥,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,金屬材料,3310,佳穎,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,金屬材料,,Codelco,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,金屬材料,,費利浦·麥克莫蘭銅金公司,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,金屬材料,,世泰科,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,金屬材料,,攀時,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,金屬材料,,俄羅斯鋁業聯合公司,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,電鍍材料,2476,鉅祥,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,電鍍材料,8431,匯鑽科,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,電鍍材料,,巴里克黃金公司,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,電鍍材料,,紐蒙特礦業,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,電鍍材料,,PT Timah,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,塑膠材料,2476,鉅祥,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,塑膠材料,3010,華立,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,塑膠材料,4755,三福化,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,塑膠材料,3665,貿聯-KY,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,塑膠材料,6151,晉倫,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,塑膠材料,8240,華宏,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,塑膠材料,7896,喬越,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,塑膠材料,8058,耐特,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,塑膠材料,,巴斯夫,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,塑膠材料,,泰科纳,2026-07-30 15:26:00,2026-07-30 15:26:00
上游,塑膠材料,,東麗,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,2317,鴻海,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,2352,佳世達,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,2392,正崴,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,2459,敦吉,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,2460,建通,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,2462,良得電,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,2483,百容,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3003,健和興,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3011,今皓,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3021,鴻名,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3023,信邦,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3419,譁裕,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3432,台端,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3501,維熹,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3533,嘉澤,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3605,宏致,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,6115,鎰勝,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,6133,金橋,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,6165,浪凡,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,6197,佳必琪,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,6205,詮欣,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,6272,驊陞,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,6835,圓裕,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,8103,瀚荃,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3665,貿聯-KY,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,4943,康控-KY,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3114,好德,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3217,優群,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3322,建舜電,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3492,長盛,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3511,矽瑪,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3520,華盈,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3526,凡甲,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3597,映興,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3646,艾恩特,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3689,湧德,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,3710,連展投控,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,5398,慕康生醫,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,5457,宣德,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,5460,同協,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,6126,信音,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,6158,禾昌,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,6185,幃翔,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,6217,中探針,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,6279,胡連,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,6290,良維,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,6418,詠昇,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,6913,鴻呈,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,8147,正淩,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,5254,欣訊科技,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,5271,紘通,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,6833,太康精密,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,7893,睿信,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,,安費諾,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,,莫仕,2026-07-30 15:26:00,2026-07-30 15:26:00
下游,連接器設計、組裝及製造,,TE Connectivity,2026-07-30 15:26:00,2026-07-30 15:26:00
