位置,子分類,代號,名稱,download_timestamp,process_timestamp
上游,玻璃纖維/玻纖布,1303,南亞,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,玻璃纖維/玻纖布,1802,台玻,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,玻璃纖維/玻纖布,1815,富喬,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,玻璃纖維/玻纖布,3388,崇越電,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,玻璃纖維/玻纖布,5340,建榮,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,玻璃纖維/玻纖布,5475,德宏,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,玻璃纖維/玻纖布,8240,華宏,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,玻璃纖維/玻纖布,,AGY Holding Corp,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,玻璃纖維/玻纖布,,建滔化工,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,玻璃纖維/玻纖布,,日東紡,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,環氧樹脂,1303,南亞,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,環氧樹脂,1717,長興,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,環氧樹脂,4764,雙鍵,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,環氧樹脂,8240,華宏,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,環氧樹脂,,杜邦,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,環氧樹脂,,邁圖,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,酚醛樹脂,1303,南亞,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,酚醛樹脂,1717,長興,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,酚醛樹脂,,巴斯夫,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,酚醛樹脂,,邁圖,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,酚醛樹脂,,Sumitomo Bakelite,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,銅箔,1303,南亞,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,銅箔,4989,榮科,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,銅箔,3388,崇越電,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,銅箔,8358,金居,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,銅箔,,古河電氣工業,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,銅箔,,JX金屬,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,銅箔,,建滔化工,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,銅箔,,三井金屬,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,聚亞醯胺樹脂,1717,長興,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,聚亞醯胺樹脂,3645,達邁,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,聚亞醯胺樹脂,4764,雙鍵,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,聚亞醯胺樹脂,7419,達勝,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,聚亞醯胺樹脂,,日本東麗杜邦株式會社,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,聚亞醯胺樹脂,,杜邦,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,聚亞醯胺樹脂,,Kaneka,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,聚亞醯胺樹脂,,PI Advanced Materials,2026-05-03 03:27:37,2026-05-03 03:27:37
上游,聚亞醯胺樹脂,,SKC KOLON PI,2026-05-03 03:27:37,2026-05-03 03:27:37
中游,硬板、軟板、IC載板製造,2313,華通,2026-05-03 03:27:37,2026-05-03 03:27:37
中游,硬板、軟板、IC載板製造,2316,楠梓電,2026-05-03 03:27:37,2026-05-03 03:27:37
中游,硬板、軟板、IC載板製造,2328,廣宇,2026-05-03 03:27:37,2026-05-03 03:27:37
中游,硬板、軟板、IC載板製造,2355,敬鵬,2026-05-03 03:27:37,2026-05-03 03:27:37
中游,硬板、軟板、IC載板製造,2367,燿華,2026-05-03 03:27:37,2026-05-03 03:27:37
中游,硬板、軟板、IC載板製造,2368,金像電,2026-05-03 03:27:37,2026-05-03 03:27:37
中游,硬板、軟板、IC載板製造,2402,毅嘉,2026-05-03 03:27:37,2026-05-03 03:27:37
中游,硬板、軟板、IC載板製造,3037,欣興,2026-05-03 03:27:37,2026-05-03 03:27:37
中游,硬板、軟板、IC載板製造,3044,健鼎,2026-05-03 03:27:37,2026-05-03 03:27:37
