位置,子分類,代號,名稱
上游,原物料,1210,大成
上游,原物料,1215,卜蜂
上游,原物料,1216,統一
上游,原物料,1220,台榮
上游,原物料,1225,福懋油
上游,原物料,1232,大統益
上游,原物料,1233,天仁
上游,原物料,1235,興泰
上游,原物料,1702,南僑
上游,原物料,1737,臺鹽
上游,原物料,2913,農林
上游,原物料,4755,三福化
上游,原物料,4930,燦星網
上游,原物料,1264,德麥
上游,原物料,1294,漢田生技
上游,原物料,1295,生合
上游,原物料,3388,崇越電
上游,原物料,6578,達邦蛋白
上游,原物料,6846,綠茵
上游,原物料,8472,夠麻吉
上游,原物料,8905,裕國
上游,原物料,6963,品元
上游,原物料,8345,超秦
上游,原物料,7401,格外農品
上游,原物料,7412,生態綠
上游,原物料,7450,那米亞
上游,原物料,7529,台鼎
上游,原物料,7572,好食
上游,原物料,7649,正崴生物
上游,原物料,7690,崙禾社企
上游,原物料,,阿徹丹尼爾斯米德蘭公司(糧商跟加工廠)
上游,原物料,,Bunge
上游,原物料,,嘉吉公司
下游,加工食品,1210,大成
下游,加工食品,1215,卜蜂
下游,加工食品,1216,統一
下游,加工食品,1218,泰山
下游,加工食品,1219,福壽
下游,加工食品,1220,台榮
下游,加工食品,1225,福懋油
下游,加工食品,1229,聯華
下游,加工食品,1232,大統益
下游,加工食品,1702,南僑
下游,加工食品,2753,八方雲集
下游,加工食品,2913,農林
下游,加工食品,7791,皇家可口
下游,加工食品,9917,中保科
下游,加工食品,1256,鮮活果汁-KY
下游,加工食品,1294,漢田生技
下游,加工食品,4205,中華食
下游,加工食品,4207,環泰
下游,加工食品,6846,綠茵
下游,加工食品,7743,金利食安
下游,加工食品,8905,裕國
下游,加工食品,1260,富味鄉
下游,加工食品,7806,精華生醫
下游,加工食品,8345,超秦
下游,加工食品,7401,格外農品
下游,加工食品,7412,生態綠
下游,加工食品,7576,丰丹嚴選本舖
下游,加工食品,7613,金嘉隆
下游,加工食品,7634,田榮
下游,加工食品,,可口可樂
下游,加工食品,,JBS
下游,加工食品,,百事公司
下游,加工食品,,泰森食品
下游,冷凍、罐頭、脫水、醃漬食品,1201,味全
下游,冷凍、罐頭、脫水、醃漬食品,1203,味王
下游,冷凍、罐頭、脫水、醃漬食品,1210,大成
下游,冷凍、罐頭、脫水、醃漬食品,1215,卜蜂
下游,冷凍、罐頭、脫水、醃漬食品,1216,統一
下游,冷凍、罐頭、脫水、醃漬食品,1217,愛之味
下游,冷凍、罐頭、脫水、醃漬食品,1218,泰山
下游,冷凍、罐頭、脫水、醃漬食品,1231,聯華食
下游,冷凍、罐頭、脫水、醃漬食品,1234,黑松
下游,冷凍、罐頭、脫水、醃漬食品,2913,農林
下游,冷凍、罐頭、脫水、醃漬食品,8905,裕國
下游,冷凍、罐頭、脫水、醃漬食品,8345,超秦
下游,冷凍、罐頭、脫水、醃漬食品,7401,格外農品
下游,冷凍、罐頭、脫水、醃漬食品,7412,生態綠
下游,冷凍、罐頭、脫水、醃漬食品,7589,優思
下游,冷凍、罐頭、脫水、醃漬食品,7649,正崴生物
下游,冷凍、罐頭、脫水、醃漬食品,,安海斯-布希英博集團
下游,冷凍、罐頭、脫水、醃漬食品,,JBS
下游,冷凍、罐頭、脫水、醃漬食品,,Kraft Heinz Company
下游,冷凍、罐頭、脫水、醃漬食品,,泰森食品
下游,乳製品,1201,味全
下游,乳製品,1216,統一
下游,乳製品,1236,宏亞
下游,乳製品,,達能集團
下游,乳製品,,恆天然乳品
下游,乳製品,,雀巢
下游,營養食品,1227,佳格
下游,營養食品,1737,臺鹽
下游,營養食品,6846,綠茵
下游,營養食品,7889,騰勢
下游,營養食品,7425,膳安
下游,營養食品,7450,那米亞
下游,營養食品,7589,優思
下游,營養食品,7667,露奇亞
下游,營養食品,,安麗
下游,營養食品,,健安喜
下游,營養食品,,萊萃美
下游,餐飲連鎖,1233,天仁
下游,餐飲連鎖,1702,南僑
下游,餐飲連鎖,2727,王品
下游,餐飲連鎖,2753,八方雲集
下游,餐飲連鎖,7705,三商餐飲
下游,餐飲連鎖,8940,新天地
下游,餐飲連鎖,9917,中保科
下游,餐飲連鎖,2723,美食-KY
下游,餐飲連鎖,1259,安心
下游,餐飲連鎖,1268,漢來美食
下游,餐飲連鎖,2729,瓦城
下游,餐飲連鎖,2732,六角
下游,餐飲連鎖,2740,華軒
下游,餐飲連鎖,2751,王座
下游,餐飲連鎖,2752,豆府
下游,餐飲連鎖,2754,亞洲藏壽司
下游,餐飲連鎖,2755,揚秦
下游,餐飲連鎖,2756,聯發國際
下游,餐飲連鎖,3522,御嵿
下游,餐飲連鎖,4419,皇家美食
下游,餐飲連鎖,4530,宏易
下游,餐飲連鎖,7708,全家餐飲
下游,餐飲連鎖,7723,築間
下游,餐飲連鎖,7757,金色三麥
下游,餐飲連鎖,2726,雅茗-KY
下游,餐飲連鎖,1269,乾杯
下游,餐飲連鎖,2741,老四川
下游,餐飲連鎖,2758,路易莎咖啡
下游,餐飲連鎖,2760,巨宇翔
下游,餐飲連鎖,2761,橘焱胡同
下游,餐飲連鎖,7756,多那之
下游,餐飲連鎖,7789,開展
下游,餐飲連鎖,7797,Q Burger
下游,餐飲連鎖,7847,豊漁
下游,餐飲連鎖,7883,饗賓
下游,餐飲連鎖,7425,膳安
下游,餐飲連鎖,7628,木盆
下游,餐飲連鎖,7654,吉緻生活
下游,餐飲連鎖,7666,晨間廚房
下游,餐飲連鎖,,麥當勞
下游,餐飲連鎖,,Subway
下游,餐飲連鎖,,百勝餐飲集團
