位置,子分類,代號,名稱,download_timestamp,process_timestamp
上游,石化上游原料及相關鑽探設備,1303,南亞,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
上游,石化上游原料及相關鑽探設備,1723,中碳,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
上游,石化上游原料及相關鑽探設備,6505,台塑化,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
上游,石化上游原料及相關鑽探設備,7742,天弘化,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
上游,石化上游原料及相關鑽探設備,,艾克森美孚,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
上游,石化上游原料及相關鑽探設備,,宏華集團,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
上游,石化上游原料及相關鑽探設備,,沙烏地阿拉伯國家石油公司,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
上游,石化上游原料及相關鑽探設備,,Weatherford International,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),1314,中石化,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),1326,台化,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),1402,遠東新,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),1725,元禎,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),1727,中華化,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),4739,康普,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),4721,美琪瑪,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,Braskem,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,Chevron Phillips Chemical,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,中國石油天然氣集團公司,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,陶氏,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,Eni,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,艾克森美孚,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,Honeywell,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,英力士,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,里安德巴塞爾工業,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,三井化學株式會社,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,殼牌公司,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,中國石化,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,道達爾,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,TPC Group Inc,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),1709,和益,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),1714,和桐,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),4707,磐亞,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,Air Products & Chemicals,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,阿克蘇諾貝爾,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,漢高,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),1304,台聚,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),1308,亞聚,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),1717,長興,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),1721,三晃,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),1735,日勝化,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),1776,展宇,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),4764,雙鍵,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),4770,上品,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),5234,達興材料,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),4716,大立,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),6972,博瑞達應材,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),7763,崇舜,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),BAYRY,拜耳,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,帝斯曼,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,杜邦,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),1711,永光,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),2104,國際中橡,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),3430,奇鈦科,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),,巴斯夫,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1301,台塑,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1305,華夏,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1307,三芳,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1309,台達化,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1310,台苯,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1312,國喬,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1315,達新,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1316,上曜,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1319,東陽,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1321,大洋,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1323,永裕,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1324,地球,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1325,恆大,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1326,台化,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1339,昭輝,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1402,遠東新,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1410,南染,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1434,福懋,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1712,興農,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1730,花仙子,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1735,日勝化,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1776,展宇,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,2351,順德,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,3311,閎暉,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,4306,炎洲,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,6235,華孚,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,6585,鼎基,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,9939,宏全,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1337,再生-KY,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1340,勝悅-KY,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,4935,茂林-KY,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,4303,信立,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,4304,勝昱,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,4305,世坤,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,4714,永捷,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,5356,協益,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,6508,惠光,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,8935,邦泰,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,9950,萬國通,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,1343,旭東環保,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,8999,台灣積層,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,,巴斯夫,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,塑膠製品,,陶氏,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,橡膠製品,2102,泰豐,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,橡膠製品,2103,台橡,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,橡膠製品,2105,正新,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,橡膠製品,2106,建大,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,橡膠製品,2107,厚生,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,橡膠製品,2108,南帝,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,橡膠製品,2109,華豐,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,橡膠製品,2114,鑫永銓,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,橡膠製品,3311,閎暉,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,橡膠製品,6582,申豐,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,橡膠製品,2115,六暉-KY,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,橡膠製品,7507,環拓科技,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,橡膠製品,,普利司通,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,橡膠製品,,固特異,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,橡膠製品,,米其林,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,清潔用品,1730,花仙子,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,清潔用品,1731,美吾華,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,清潔用品,1732,毛寶,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,清潔用品,6504,南六,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,清潔用品,9919,康那香,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,清潔用品,6509,聚和,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,清潔用品,7519,歐思佛生技,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,清潔用品,,花王株式會社,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,清潔用品,,寶僑,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,清潔用品,,聯合利華,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,人造纖維,1301,台塑,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,人造纖維,1303,南亞,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,人造纖維,1326,台化,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,人造纖維,1409,新纖,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,人造纖維,4303,信立,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
下游,人造纖維,4714,永捷,2026-08-30 04:12:55 CST,2026-08-30 04:12:55 CST
