位置,子分類,代號,名稱,download_timestamp,process_timestamp
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),1301,台塑,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),1303,南亞,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),1314,中石化,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),1326,台化,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),1402,遠東新,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),1710,東聯,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),,旭化成化學株式會社,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),,Ascend,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),,巴斯夫,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),,陶氏,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),,帝斯曼,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),,恒力石化,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),,英力士,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),,沙特基礎工業公司,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),,中國石化,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),,宇部興產,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),,翔鷺石化,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
上游,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),,逸盛石化,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1303,南亞,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1326,台化,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1402,遠東新,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1409,新纖,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1413,宏洲,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1418,東華,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1440,南紡,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1444,力麗,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1447,力鵬,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1452,宏益,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1455,集盛,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1456,怡華,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1457,宜進,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1459,聯發,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1464,得力,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1465,偉全,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1466,聚隆,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1468,昶和,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,4440,宜新實業,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,4401,東隆興,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,4402,郡都開發,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,4406,新昕纖,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,4420,光明,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,6618,永虹先進,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,7862,聚泰,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,,巴斯夫,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,,帝斯曼,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,,杜邦,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,,Grasim,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,,恒逸石化股份有限公司,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,,Kelheim Fibres,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,,Lenzing Fibers Corp.,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,,儀徵化纖,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,天然纖維產品(例如純棉、純羊毛等),1423,利華,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,天然纖維產品(例如純棉、純羊毛等),1456,怡華,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,天然纖維產品(例如純棉、純羊毛等),,中國中紡集團,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,天然纖維產品(例如純棉、純羊毛等),,恒源祥,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,天然纖維產品(例如純棉、純羊毛等),,華芳集團棉紡有限公司,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,天然纖維產品(例如純棉、純羊毛等),,Techwool,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,天然纖維產品(例如純棉、純羊毛等),,天虹紡織,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,天然纖維產品(例如純棉、純羊毛等),,魏橋紡織股份有限公司,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,化學助劑,1468,昶和,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,化學助劑,1713,國化,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
中游,化學助劑,1727,中華化,2026-08-30 04:12:58 CST,2026-08-30 04:12:58 CST
