位置,子分類,代號,名稱
上游,鋼鑄鐵元件,1532,勤美
上游,鋼鑄鐵元件,2371,大同
上游,鋼鑄鐵元件,2483,百容
上游,鋼鑄鐵元件,1589,永冠-KY
上游,鋼鑄鐵元件,2067,嘉鋼
上游,鋼鑄鐵元件,4538,大詠城
上游,鋼鑄鐵元件,4580,捷流閥業
上游,鋼鑄鐵元件,6705,振躍精密
上游,鋼鑄鐵元件,,勤美達國際
上游,鋼鑄鐵元件,,江蘇吉鑫風能
上游,鋼鑄鐵元件,,吉鑫科技
上游,傳動元件,1504,東元
上游,傳動元件,1526,日馳
上游,傳動元件,1536,和大
上游,傳動元件,1597,直得
上游,傳動元件,2049,上銀
上游,傳動元件,2233,宇隆
上游,傳動元件,2308,台達電
上游,傳動元件,4540,全球傳動
上游,傳動元件,4576,大銀微系統
上游,傳動元件,4583,台灣精銳
上游,傳動元件,4590,富田-創
上游,傳動元件,1590,亞德客-KY
上游,傳動元件,2248,華勝-KY
上游,傳動元件,3426,台興
上游,傳動元件,4528,江興鍛
上游,傳動元件,4534,慶騰
上游,傳動元件,4561,健椿
上游,傳動元件,4568,科際精密
上游,傳動元件,4580,捷流閥業
上游,傳動元件,4584,君帆
上游,傳動元件,6982,大井泵浦
上游,傳動元件,4573,高明鐵
上游,傳動元件,4589,碩陽電機
上游,傳動元件,,安士克精密
上游,傳動元件,,THK
上游,電控元件,1303,南亞
上游,電控元件,1504,東元
上游,電控元件,1533,車王電
上游,電控元件,1597,直得
上游,電控元件,2308,台達電
上游,電控元件,2459,敦吉
上游,電控元件,2483,百容
上游,電控元件,4555,氣立
上游,電控元件,7750,新代
上游,電控元件,7788,松川精密
上游,電控元件,3426,台興
上游,電控元件,4549,桓達
上游,電控元件,4584,君帆
上游,電控元件,5381,光譜
上游,電控元件,7642,昶瑞機電
上游,電控元件,8109,博大
上游,電控元件,4587,寶元數控
上游,電控元件,7675,卡德爾
上游,電控元件,,艾睿電子
上游,電控元件,,安富利
上游,油空壓元件,4555,氣立
上游,油空壓元件,8996,高力
上游,油空壓元件,3426,台興
上游,油空壓元件,4568,科際精密
上游,油空壓元件,4584,君帆
上游,油空壓元件,,阿特拉斯科普柯集團
上游,油空壓元件,,牧田日本
上游,油空壓元件,,得偉史坦萊
下游,金屬加工用機械,1513,中興電
下游,金屬加工用機械,1530,亞崴
下游,金屬加工用機械,1540,喬福
下游,金屬加工用機械,1583,程泰
下游,金屬加工用機械,4526,東台
下游,金屬加工用機械,4562,穎漢
下游,金屬加工用機械,5007,三星
下游,金屬加工用機械,6606,建德工業
下游,金屬加工用機械,1590,亞德客-KY
下游,金屬加工用機械,3162,精確
下游,金屬加工用機械,4510,高鋒
下游,金屬加工用機械,4513,福裕
下游,金屬加工用機械,4533,協易機
下游,金屬加工用機械,4563,百德
下游,金屬加工用機械,6609,瀧澤科
下游,金屬加工用機械,7709,榮田
下游,金屬加工用機械,8092,建暐
下游,金屬加工用機械,4544,春日
下游,金屬加工用機械,4575,銓寶
下游,金屬加工用機械,,開拓重工
下游,金屬加工用機械,,小松製作所
下游,金屬加工用機械,,Schuler
下游,金屬加工用機械,,瀋陽機床集團
下游,金屬加工用機械,,Trumpf
下游,專用機械,1528,恩德
下游,專用機械,1531,高林股
下游,專用機械,1558,伸興
下游,專用機械,2308,台達電
下游,專用機械,3167,大量
下游,專用機械,1580,新麥
下游,專用機械,2070,精湛
下游,專用機械,3379,彬台
下游,專用機械,3498,陽程
下游,專用機械,6603,富強鑫
下游,專用機械,8027,鈦昇
下游,專用機械,8092,建暐
下游,專用機械,8421,旭源
下游,專用機械,4537,旭東
下游,專用機械,4575,銓寶
下游,專用機械,6618,永虹先進
下游,專用機械,7518,宏泰工
下游,專用機械,7592,艾思特
下游,專用機械,,Bucher Industries AG
下游,專用機械,,凱斯
下游,專用機械,,克拉斯
下游,專用機械,,GEA Group
下游,專用機械,,意達
下游,專用機械,,強鹿
下游,專用機械,,立達
下游,專用機械,,Saurer Group
下游,專用機械,,SPX Flow
下游,手工具機,1315,達新
下游,手工具機,1515,力山
下游,手工具機,1527,鑽全
下游,手工具機,1533,車王電
下游,手工具機,1538,正峰
下游,手工具機,1539,巨庭
下游,手工具機,1541,錩泰
下游,手工具機,1558,伸興
下游,手工具機,2352,佳世達
下游,手工具機,2397,友通
下游,手工具機,8374,羅昇
下游,手工具機,1570,力肯
下游,手工具機,4534,慶騰
下游,手工具機,7539,鐵碳企業
下游,手工具機,,勞勃·博世公司
下游,手工具機,,牧田日本
下游,手工具機,,得偉史坦萊
下游,輸送機械及零配件,1503,士電
下游,輸送機械及零配件,2233,宇隆
下游,輸送機械及零配件,2308,台達電
下游,輸送機械及零配件,2459,敦吉
下游,輸送機械及零配件,2464,盟立
下游,輸送機械及零配件,4720,德淵
下游,輸送機械及零配件,6125,廣運
下游,輸送機械及零配件,6234,高僑
下游,輸送機械及零配件,6843,進典
下游,輸送機械及零配件,8083,瑞穎
下游,輸送機械及零配件,,鑽石鏈條
下游,輸送機械及零配件,,哈伯斯
下游,輸送機械及零配件,,易格斯
下游,車用機械傳動設備,1503,士電
下游,車用機械傳動設備,1506,正道
下游,車用機械傳動設備,1512,瑞利
下游,車用機械傳動設備,1517,利奇
下游,車用機械傳動設備,1533,車王電
下游,車用機械傳動設備,1537,廣隆
下游,車用機械傳動設備,1563,巧新
下游,車用機械傳動設備,1568,倉佑
下游,車用機械傳動設備,2233,宇隆
下游,車用機械傳動設備,2254,巨鎧精密-創
下游,車用機械傳動設備,2421,建準
下游,車用機械傳動設備,4566,時碩工業
下游,車用機械傳動設備,5306,桂盟
下游,車用機械傳動設備,7732,金興精密
下游,車用機械傳動設備,7736,虎山
下游,車用機械傳動設備,1586,和勤
下游,車用機械傳動設備,2066,世德
下游,車用機械傳動設備,2230,泰茂
下游,車用機械傳動設備,2235,謚源
下游,車用機械傳動設備,3226,龍鋒
下游,車用機械傳動設備,4502,健信
下游,車用機械傳動設備,4523,永彰
下游,車用機械傳動設備,4528,江興鍛
下游,車用機械傳動設備,4534,慶騰
下游,車用機械傳動設備,4535,至興
下游,車用機械傳動設備,4584,君帆
下游,車用機械傳動設備,6275,元山
下游,車用機械傳動設備,8083,瑞穎
下游,車用機械傳動設備,8255,朋程
下游,車用機械傳動設備,9951,皇田
下游,車用機械傳動設備,4553,盛復
下游,車用機械傳動設備,4559,久裕興
下游,車用機械傳動設備,4570,傑生
下游,車用機械傳動設備,7629,峰安車業
下游,車用機械傳動設備,,ABB Group
下游,車用機械傳動設備,,西門子
下游,自動販賣機,6606,建德工業
下游,自動販賣機,4503,金雨
下游,自動販賣機,7543,富宸
