位置,子分類,代號,名稱,download_timestamp,process_timestamp
上游,煤、鐵礦砂、廢鋼,,安賽樂米塔爾,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、廢鋼,,北京能源集團,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、廢鋼,,必和必拓集團,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、廢鋼,,神華集團,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、廢鋼,,Coal India,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、廢鋼,,嘉能可,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、廢鋼,,河北鋼鐵,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、廢鋼,,日本製鐵,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、廢鋼,,Peabody Energy,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、廢鋼,,力拓集團,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、廢鋼,,巴西淡水河谷,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,鋼胚,2002,中鋼,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,鋼胚,2006,東和鋼鐵,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,鋼胚,2015,豐興,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,鋼胚,2028,威致,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,鋼胚,5009,榮剛,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,鋼胚,,安賽樂米塔爾,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,鋼胚,,河北鋼鐵,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,鋼胚,,日本製鐵,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、鎳鐵、鉻鐵、廢鋼,1605,華新,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、鎳鐵、鉻鐵、廢鋼,,安賽樂米塔爾,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、鎳鐵、鉻鐵、廢鋼,,北京能源集團,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、鎳鐵、鉻鐵、廢鋼,,必和必拓集團,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、鎳鐵、鉻鐵、廢鋼,,歐亞天然資源公司,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、鎳鐵、鉻鐵、廢鋼,,嘉能可,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、鎳鐵、鉻鐵、廢鋼,,河北鋼鐵,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、鎳鐵、鉻鐵、廢鋼,,MMC Norilsk Nickel,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、鎳鐵、鉻鐵、廢鋼,,日本製鐵,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、鎳鐵、鉻鐵、廢鋼,,Peabody Energy,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、鎳鐵、鉻鐵、廢鋼,,力拓集團,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、鎳鐵、鉻鐵、廢鋼,,South32,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,煤、鐵礦砂、鎳鐵、鉻鐵、廢鋼,,巴西淡水河谷,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,不鏽鋼胚,1605,華新,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,不鏽鋼胚,2035,唐榮公司,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,不鏽鋼胚,5009,榮剛,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,不鏽鋼胚,9957,燁聯,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,不鏽鋼胚,,安賽樂米塔爾,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,不鏽鋼胚,,Outokumpu,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
上游,不鏽鋼胚,,蒂森克虜伯股份公司,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
中游,冷熱軋鋼板捲,2002,中鋼,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
中游,冷熱軋鋼板捲,2008,高興昌,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
中游,冷熱軋鋼板捲,2009,第一銅,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
中游,冷熱軋鋼板捲,2010,春源,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
中游,冷熱軋鋼板捲,2014,中鴻,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
中游,冷熱軋鋼板捲,2023,燁輝,2026-09-06 03:27:37 CST,2026-09-06 03:27:37 CST
