位置,子分類,代號,名稱
上游,應用/系統軟體設計開發,1416,廣豐
上游,應用/系統軟體設計開發,2308,台達電
上游,應用/系統軟體設計開發,2371,大同
上游,應用/系統軟體設計開發,2427,三商電
上游,應用/系統軟體設計開發,2453,凌群
上游,應用/系統軟體設計開發,2468,華經
上游,應用/系統軟體設計開發,2471,資通
上游,應用/系統軟體設計開發,2480,敦陽科
上游,應用/系統軟體設計開發,3057,喬鼎
上游,應用/系統軟體設計開發,3130,一零四
上游,應用/系統軟體設計開發,4585,達明
上游,應用/系統軟體設計開發,5203,訊連
上游,應用/系統軟體設計開發,6112,邁達特
上游,應用/系統軟體設計開發,6183,關貿
上游,應用/系統軟體設計開發,6214,精誠
上游,應用/系統軟體設計開發,6277,宏正
上游,應用/系統軟體設計開發,6614,資拓宏宇
上游,應用/系統軟體設計開發,6906,現觀科
上游,應用/系統軟體設計開發,7765,中華資安
上游,應用/系統軟體設計開發,3158,嘉實
上游,應用/系統軟體設計開發,4160,訊聯基因
上游,應用/系統軟體設計開發,4953,緯軟
上游,應用/系統軟體設計開發,5201,凱衛
上游,應用/系統軟體設計開發,5202,力新
上游,應用/系統軟體設計開發,5210,寶碩
上游,應用/系統軟體設計開發,5211,蒙恬
上游,應用/系統軟體設計開發,5263,智崴
上游,應用/系統軟體設計開發,5403,中菲
上游,應用/系統軟體設計開發,5410,國眾
上游,應用/系統軟體設計開發,5493,三聯
上游,應用/系統軟體設計開發,6140,訊達電腦
上游,應用/系統軟體設計開發,6163,華電網
上游,應用/系統軟體設計開發,6221,晉泰
上游,應用/系統軟體設計開發,6240,松崗
上游,應用/系統軟體設計開發,6462,神盾
上游,應用/系統軟體設計開發,6516,勤崴國際
上游,應用/系統軟體設計開發,6590,普鴻
上游,應用/系統軟體設計開發,6752,叡揚
上游,應用/系統軟體設計開發,6811,宏碁資訊
上游,應用/系統軟體設計開發,6870,騰雲
上游,應用/系統軟體設計開發,6874,倍力
上游,應用/系統軟體設計開發,6910,德鴻
上游,應用/系統軟體設計開發,6925,意藍
上游,應用/系統軟體設計開發,7547,碩網
上游,應用/系統軟體設計開發,8099,大世科
上游,應用/系統軟體設計開發,8284,三竹
上游,應用/系統軟體設計開發,6536,碩豐
上游,應用/系統軟體設計開發,6738,鼎恒
上游,應用/系統軟體設計開發,6816,捷智商訊
上游,應用/系統軟體設計開發,6868,采威國際
上游,應用/系統軟體設計開發,6882,甲尚
上游,應用/系統軟體設計開發,7551,知識科技
上游,應用/系統軟體設計開發,7724,諾亞克
上游,應用/系統軟體設計開發,7781,昕力資*
上游,應用/系統軟體設計開發,7785,北祥科服
上游,應用/系統軟體設計開發,7801,華芸科技
上游,應用/系統軟體設計開發,7819,精誠金融
上游,應用/系統軟體設計開發,7822,倍利科
上游,應用/系統軟體設計開發,7825,和亞智慧
上游,應用/系統軟體設計開發,7826,極風雲創
上游,應用/系統軟體設計開發,7836,智生活
上游,應用/系統軟體設計開發,7839,達人網
上游,應用/系統軟體設計開發,7841,經貿聯網
上游,應用/系統軟體設計開發,8298,威睿
上游,應用/系統軟體設計開發,7403,紐因科技
上游,應用/系統軟體設計開發,7408,易得雲端
上游,應用/系統軟體設計開發,7492,一等一科技
上游,應用/系統軟體設計開發,7543,富宸
上游,應用/系統軟體設計開發,7587,環球睿視
上游,應用/系統軟體設計開發,7593,優思睿智科技
上游,應用/系統軟體設計開發,7605,雲程在線
上游,應用/系統軟體設計開發,7645,聯和趨動
上游,應用/系統軟體設計開發,7661,皓德盛科技
上游,應用/系統軟體設計開發,7663,數位玩家
上游,應用/系統軟體設計開發,7674,數位獵人
上游,應用/系統軟體設計開發,7684,對稱資訊
上游,系統整合服務,2352,佳世達
上游,系統整合服務,2360,致茂
上游,系統整合服務,2371,大同
上游,系統整合服務,2427,三商電
上游,系統整合服務,2453,凌群
上游,系統整合服務,2468,華經
上游,系統整合服務,2471,資通
上游,系統整合服務,2480,敦陽科
上游,系統整合服務,3021,鴻名
上游,系統整合服務,3029,零壹
上游,系統整合服務,3057,喬鼎
上游,系統整合服務,3130,一零四
上游,系統整合服務,4585,達明
上游,系統整合服務,6112,邁達特
上游,系統整合服務,6183,關貿
上游,系統整合服務,6214,精誠
上游,系統整合服務,6277,宏正
上游,系統整合服務,6614,資拓宏宇
上游,系統整合服務,7765,中華資安
上游,系統整合服務,3147,大綜
上游,系統整合服務,3158,嘉實
上游,系統整合服務,3570,大塚
上游,系統整合服務,4160,訊聯基因
上游,系統整合服務,5201,凱衛
上游,系統整合服務,5202,力新
上游,系統整合服務,5206,坤悅
上游,系統整合服務,5209,新鼎
上游,系統整合服務,5210,寶碩
上游,系統整合服務,5212,凌網
上游,系統整合服務,5310,天剛
上游,系統整合服務,5403,中菲
上游,系統整合服務,5410,國眾
上游,系統整合服務,5493,三聯
上游,系統整合服務,6123,上奇
上游,系統整合服務,6140,訊達電腦
上游,系統整合服務,6148,驊宏資
