位置,子分類,代號,名稱,download_timestamp,process_timestamp
上游,建材原料,1603,華電,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,1612,宏泰,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,1802,台玻,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,1806,冠軍,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,1809,中釉,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,1810,和成,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,1817,凱撒衛,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,2020,美亞,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,2504,國產,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,2597,潤弘,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,3149,正達,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,5515,建國,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,5534,長虹,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,8463,潤泰材,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,3388,崇越電,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,6228,全譜,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,8424,惠普,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,8930,青鋼,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,5543,桓鼎-KY,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,7763,崇舜,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,,安賽樂米塔爾,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,,中國建材,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,建材原料,,拉法基豪瑞,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,基礎工程,2031,新光鋼,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,基礎工程,2597,潤弘,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,基礎工程,8080,泰霖,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,基礎工程,,AECOM,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,結構工程,1472,三洋實業,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,結構工程,2010,春源,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,結構工程,2031,新光鋼,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,結構工程,2597,潤弘,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,結構工程,9945,潤泰新,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,結構工程,1594,日高,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,結構工程,,雅各布工程集團,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,機電工程,1472,三洋實業,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,機電工程,1503,士電,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,機電工程,1504,東元,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,機電工程,2308,台達電,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,機電工程,2371,大同,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,機電工程,2597,潤弘,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,機電工程,3018,隆銘綠能,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,機電工程,9945,潤泰新,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,機電工程,5536,聖暉*,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,機電工程,6122,擎邦,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,機電工程,6228,全譜,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,機電工程,8383,千附,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,機電工程,1594,日高,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,機電工程,,FLUOR CORP,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,工程設計,2597,潤弘,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,工程設計,9945,潤泰新,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,工程設計,5536,聖暉*,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,工程設計,6228,全譜,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,工程設計,8383,千附,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,工程設計,1594,日高,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
上游,工程設計,,中國建築集團,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,1472,三洋實業,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,2511,太子,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,2515,中工,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,2516,新建,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,2535,達欣工,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,2543,皇昌,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,2546,根基,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,2597,潤弘,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,3703,欣陸,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,5515,建國,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,5519,隆大,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,5521,工信,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,9945,潤泰新,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,5511,德昌,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,5516,雙喜,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,5547,久舜,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,5548,安倉,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,6264,富裔,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,8936,國統,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,營造業,,中國鐵建集團,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,建設業,1103,嘉泥,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,建設業,1402,遠東新,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,建設業,1416,廣豐,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,建設業,1436,華友聯,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,建設業,1438,三地開發,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,建設業,1439,雋揚,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,建設業,1442,名軒,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,建設業,1453,大將,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,建設業,1456,怡華,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,建設業,1513,中興電,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,建設業,1532,勤美,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,建設業,1605,華新,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
中游,建設業,1805,寶徠,2026-08-02 02:55:08 CST,2026-08-02 02:55:08 CST
