位置,子分類,代號,名稱
上游,貨櫃航運,2603,長榮
上游,貨櫃航運,2607,榮運
上游,貨櫃航運,2609,陽明
上游,貨櫃航運,2615,萬海
上游,貨櫃航運,8367,建新國際
上游,貨櫃航運,,達飛海運集團
上游,貨櫃航運,,中遠海運集裝箱運輸有限公司
上游,貨櫃航運,,快桅
上游,貨櫃航運,,地中海航運公司
上游,散裝航運,2601,益航
上游,散裝航運,2605,新興
上游,散裝航運,2606,裕民
上游,散裝航運,2612,中航
上游,散裝航運,2614,東森
上游,散裝航運,2617,台航
上游,散裝航運,5608,四維航
上游,散裝航運,8367,建新國際
上游,散裝航運,2637,慧洋-KY
上游,散裝航運,2641,正德
上游,散裝航運,,Angelicoussis Shipping Group
上游,散裝航運,,中遠海運散貨運輸有限公司
上游,散裝航運,,Golden Ocean Group
上游,散裝航運,,Golden Union
上游,散裝航運,,Star Bulk Carriers
上游,海陸空貨運承攬,2607,榮運
上游,海陸空貨運承攬,2608,嘉里大榮
上游,海陸空貨運承攬,2612,中航
上游,海陸空貨運承攬,2636,台驊控股
上游,海陸空貨運承攬,2642,宅配通
上游,海陸空貨運承攬,9917,中保科
上游,海陸空貨運承攬,2643,捷迅
上游,海陸空貨運承攬,5609,中菲行
上游,海陸空貨運承攬,7716,昱臺國際
上游,海陸空貨運承攬,,德鐵信可
上游,海陸空貨運承攬,,洋基運通
上游,海陸空貨運承攬,,近畿日本鉄道
上游,海陸空貨運承攬,,德迅
上游,海陸空貨運承攬,,優比速公司
上游,貨櫃運輸集散及倉儲,1103,嘉泥
上游,貨櫃運輸集散及倉儲,2607,榮運
上游,貨櫃運輸集散及倉儲,2611,志信
上游,貨櫃運輸集散及倉儲,2612,中航
上游,貨櫃運輸集散及倉儲,2613,中櫃
上游,貨櫃運輸集散及倉儲,2616,山隆
上游,貨櫃運輸集散及倉儲,2630,亞航
上游,貨櫃運輸集散及倉儲,5607,遠雄港
上游,貨櫃運輸集散及倉儲,9917,中保科
上游,貨櫃運輸集散及倉儲,5601,台聯櫃
上游,貨櫃運輸集散及倉儲,5603,陸海
上游,貨櫃運輸集散及倉儲,7863,中科物流
上游,貨櫃運輸集散及倉儲,,羅賓遜全球物流有限公司
上游,貨櫃運輸集散及倉儲,,英國英運物流集團
上游,貨櫃運輸集散及倉儲,,德迅
上游,海陸空大眾運輸,2607,榮運
上游,海陸空大眾運輸,2610,華航
上游,海陸空大眾運輸,2612,中航
上游,海陸空大眾運輸,2618,長榮航
上游,海陸空大眾運輸,2633,台灣高鐵
上游,海陸空大眾運輸,2645,長榮航太
上游,海陸空大眾運輸,2646,星宇航空
上游,海陸空大眾運輸,6757,台灣虎航
上游,海陸空大眾運輸,8109,博大
上游,海陸空大眾運輸,7413,多扶
上游,海陸空大眾運輸,7485,福倫
上游,海陸空大眾運輸,,美國航空
上游,海陸空大眾運輸,,嘉年華郵輪集團
上游,海陸空大眾運輸,,中國鐵路總公司
上游,海陸空大眾運輸,,達美航空
上游,海陸空大眾運輸,,德國鐵路股份公司
上游,海陸空大眾運輸,,挪威集團
上游,海陸空大眾運輸,,皇家加勒比海郵遊輪公司
上游,海陸空大眾運輸,,聯合太平洋鐵路
上游,海陸空大眾運輸,,聯合航空
