位置,子分類,代號,名稱,download_timestamp,process_timestamp
上游,金控業/銀行業/保險業,2801,彰銀,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2809,京城銀,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2812,台中銀,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2816,旺旺保,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2820,華票,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2832,台產,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2834,臺企銀,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2836,高雄銀,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2838,聯邦銀,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2845,遠東銀,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2849,安泰銀,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2850,新產,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2851,中再保,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2852,第一保,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2867,三商壽,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2880,華南金,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2881,富邦金,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2882,國泰金,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2883,凱基金,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2884,玉山金,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2885,元大金,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2886,兆豐金,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2887,台新新光金,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2888,新光金,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2889,國票金,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2890,永豐金,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2891,中信金,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2892,第一金,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,2897,王道銀行,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,5876,上海商銀,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,5880,合庫金,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,5878,台名,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,6028,公勝保經,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,5859,遠壽,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,5863,瑞興銀,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,6035,悠遊卡,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,金控業/銀行業/保險業,6878,歐付寶,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,證券業,2812,台中銀,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,證券業,2834,臺企銀,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,證券業,2838,聯邦銀,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,證券業,2855,統一證,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,證券業,2856,元富證券,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,證券業,6005,群益證,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,證券業,5864,致和證,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,證券業,6015,宏遠證,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,證券業,6016,康和證,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,證券業,6020,大展證,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,證券業,6021,美好證,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,證券業,6026,福邦證,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,證券業,6027,德信,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,期貨業,6024,群益期,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,期貨業,6023,元大期貨,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,租賃業,1103,嘉泥,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,租賃業,2812,台中銀,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,租賃業,2834,臺企銀,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,租賃業,5871,中租-KY,2026-05-03 03:27:04,2026-05-03 03:27:04
上游,租賃業,7590,怡和國際,2026-05-03 03:27:04,2026-05-03 03:27:04
