位置,子分類,代號,名稱
上游,製造商,1614,三洋電
上游,製造商,2371,大同
上游,製造商,4930,燦星網
上游,製造商,6201,亞弘電
上游,製造商,6225,天瀚
上游,製造商,2929,淘帝-KY
上游,製造商,4807,日成-KY
上游,製造商,8429,金麗-KY
上游,製造商,2916,滿心
上游,製造商,8916,光隆
上游,製造商,8941,關中
上游,製造商,2924,宏太-KY
上游,製造商,6629,泰金-KY
上游,製造商,2938,床的世界
上游,製造商,2940,歐都納
上游,製造商,7401,格外農品
上游,製造商,7412,生態綠
上游,製造商,7449,元皓
上游,製造商,7451,頂豪
上游,製造商,7542,宥盛
中游,貿易商、代理商、經銷商,1220,台榮
中游,貿易商、代理商、經銷商,1419,新紡
中游,貿易商、代理商、經銷商,1528,恩德
中游,貿易商、代理商、經銷商,1614,三洋電
中游,貿易商、代理商、經銷商,1730,花仙子
中游,貿易商、代理商、經銷商,1817,凱撒衛
中游,貿易商、代理商、經銷商,2371,大同
中游,貿易商、代理商、經銷商,2906,高林
中游,貿易商、代理商、經銷商,2908,特力
中游,貿易商、代理商、經銷商,2913,農林
中游,貿易商、代理商、經銷商,2915,潤泰全
中游,貿易商、代理商、經銷商,3229,晟鈦
中游,貿易商、代理商、經銷商,4930,燦星網
中游,貿易商、代理商、經銷商,5434,崇越
中游,貿易商、代理商、經銷商,8454,富邦媒
中游,貿易商、代理商、經銷商,2939,永邑-KY
中游,貿易商、代理商、經銷商,4807,日成-KY
中游,貿易商、代理商、經銷商,5906,台南-KY
中游,貿易商、代理商、經銷商,1742,台蠟
中游,貿易商、代理商、經銷商,2230,泰茂
中游,貿易商、代理商、經銷商,2916,滿心
中游,貿易商、代理商、經銷商,2926,誠品生活
中游,貿易商、代理商、經銷商,2948,寶陞
中游,貿易商、代理商、經銷商,3171,炎洲流通
中游,貿易商、代理商、經銷商,4702,中美實
中游,貿易商、代理商、經銷商,5301,寶得利
中游,貿易商、代理商、經銷商,5902,德記
中游,貿易商、代理商、經銷商,6228,全譜
中游,貿易商、代理商、經銷商,6728,上洋
中游,貿易商、代理商、經銷商,6968,萬達寵物
中游,貿易商、代理商、經銷商,8066,來思達
中游,貿易商、代理商、經銷商,8433,弘帆
中游,貿易商、代理商、經銷商,8941,關中
中游,貿易商、代理商、經銷商,2938,床的世界
中游,貿易商、代理商、經銷商,2940,歐都納
中游,貿易商、代理商、經銷商,7794,宏碁智新
中游,貿易商、代理商、經銷商,7831,捷博
中游,貿易商、代理商、經銷商,7401,格外農品
中游,貿易商、代理商、經銷商,7412,生態綠
中游,貿易商、代理商、經銷商,7451,頂豪
中游,貿易商、代理商、經銷商,7534,安博森
中游,貿易商、代理商、經銷商,7542,宥盛
中游,貿易商、代理商、經銷商,7545,台邦企業
中游,貿易商、代理商、經銷商,7593,優思睿智科技
中游,貿易商、代理商、經銷商,7649,正崴生物
下游,零售通路,1419,新紡
下游,零售通路,1532,勤美
下游,零售通路,1614,三洋電
下游,零售通路,2371,大同
下游,零售通路,2430,燦坤
下游,零售通路,2601,益航
下游,零售通路,2614,東森
下游,零售通路,2901,欣欣
下游,零售通路,2903,遠百
下游,零售通路,2905,三商
下游,零售通路,2910,統領
下游,零售通路,2911,麗嬰房
下游,零售通路,2912,統一超
下游,零售通路,2913,農林
下游,零售通路,2915,潤泰全
下游,零售通路,2945,三商家購
下游,零售通路,3024,憶聲
下游,零售通路,6281,全國電
下游,零售通路,8443,阿瘦
下游,零售通路,9946,三發地產
下游,零售通路,5907,大洋-KY
下游,零售通路,2926,誠品生活
下游,零售通路,2937,集雅社
下游,零售通路,2941,米斯特
下游,零售通路,2947,振宇五金
下游,零售通路,4609,唐鋒
下游,零售通路,5301,寶得利
下游,零售通路,5903,全家
下游,零售通路,5904,寶雅
下游,零售通路,5905,南仁湖
下游,零售通路,6154,順發
下游,零售通路,6195,詩肯
下游,零售通路,6228,全譜
下游,零售通路,6968,萬達寵物
下游,零售通路,7782,光速火箭
下游,零售通路,8415,大國鋼
下游,零售通路,8472,夠麻吉
下游,零售通路,8916,光隆
下游,零售通路,8941,關中
下游,零售通路,2924,宏太-KY
下游,零售通路,2938,床的世界
下游,零售通路,2940,歐都納
下游,零售通路,2942,京站
下游,零售通路,6707,富基電通
下游,零售通路,7831,捷博
下游,零售通路,7867,特力屋
下游,零售通路,7401,格外農品
下游,零售通路,7412,生態綠
下游,零售通路,7491,車之輪
下游,零售通路,7534,安博森
下游,零售通路,7542,宥盛
下游,零售通路,7545,台邦企業
下游,零售通路,7649,正崴生物
