位置,子分類,代號,名稱,download_timestamp,process_timestamp
上游,天然瓦斯供應,9908,大台北,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,天然瓦斯供應,9918,欣天然,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,天然瓦斯供應,9926,新海,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,天然瓦斯供應,9931,欣高,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,天然瓦斯供應,8908,欣雄,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,天然瓦斯供應,8917,欣泰,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,天然瓦斯供應,,Cheniere Energy,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,天然瓦斯供應,,艾克森美孚,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,天然瓦斯供應,,俄羅斯天然氣工業股份公司,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,天然瓦斯供應,,殼牌公司,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,加油站,1434,福懋,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,加油站,2616,山隆,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,加油站,6505,台塑化,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,加油站,9937,全國,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,加油站,8927,北基,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,加油站,,英國石油公司,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,加油站,,艾克森美孚,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
上游,加油站,,殼牌公司,2026-08-23 01:26:05 CST,2026-08-23 01:26:05 CST
