位置,子分類,代號,名稱,download_timestamp,process_timestamp
上游,文化印刷業,1907,永豐餘,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,文化印刷業,6776,展碁國際,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,文化印刷業,9929,秋雨,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,文化印刷業,3284,太普高,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,文化印刷業,8401,白紗科,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,文化印刷業,8446,華研,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,文化印刷業,8906,花王,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,文化印刷業,8921,沈氏,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,文化印刷業,9949,琉園,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,文化印刷業,7606,瀚將,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,2466,冠西電,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,3703,欣陸,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,5292,華懋,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6581,鋼聯,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6771,平和環保-創,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6776,展碁國際,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6923,中台,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6944,兆聯實業,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6951,青新-創,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6994,富威電力,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,8341,日友,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,8422,可寧衛*,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,8473,山林水,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,8476,台境*,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,9930,中聯資源,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,9955,佳龍,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6641,基士德-KY,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,1785,光洋科,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,3551,世禾,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,3663,鑫科,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,5205,中茂,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6624,萬年清,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6721,信實,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6803,崑鼎,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6894,衛司特,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6971,惠民實業,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,7715,裕山,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,8390,金益鼎,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,8435,鉅邁,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,8440,綠電,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,8423,保綠-KY,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6723,傑智環境,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6911,群運,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6912,益鈞環科*,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6947,台鎔科技,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6977,聯純,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,6990,華鉬,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,7507,環拓科技,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,7516,清淨海,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,7578,利百景,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,7820,立盈,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,7846,德揚,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,7857,合水先進,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,7865,金聯成,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,7619,李連資源,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,7649,正崴生物,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,環保潔能,7657,亞瑞仕,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,其他電子產品,1614,三洋電,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,其他電子產品,2059,川湖,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,其他電子產品,2301,光寶科,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,其他電子產品,2312,金寶,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,其他電子產品,2354,鴻準,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,其他電子產品,2359,所羅門,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,其他電子產品,2360,致茂,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,其他電子產品,2371,大同,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,其他電子產品,2373,震旦行,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,其他電子產品,2390,云辰,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,其他電子產品,2404,漢唐,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,其他電子產品,2414,精技,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,其他電子產品,2415,錩新,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,其他電子產品,2423,固緯,2026-04-29 13:26:45,2026-04-29 13:26:45
上游,其他電子產品,2433,互盛電,2026-04-29 13:26:45,2026-04-29 13:26:45
