名稱,股票代號,交易所
A&D,,
ABB Group,,
AGY Holding Corp,,
AWS,,
Affymetrix,,
Akamai Technologies,,
Angelicoussis Shipping Group,,
Ant Group,,
Anthropic,,Private
Arrow Electronics,,
Asklepios,,
Atmel,,
BAE System,,
Basic-fit,,
Benchmark,,
Bucher Industries AG,,
Bunge,,
CHS,,
CITIZEN,,
CVS Health Corporation,,
Classpass,,
Cloudflare,,
Coinbase Ventures,,
Comcast,,
ComplyAdvantage,,
Control4,,
Creative Artists Agency,,
Cube,,
DePuy Synthes,,
Deloitte,,
Deloitte Consulting LLP,,
Dematic,,
Depuy,,
EMC,,
ENEOS控股株式會社,,
EVGA,,
Entrust,,
Eventbrite,,
Excelitas  Technologies,,
Excelitas Technologies,,
Excelsports Management,,
Extreme Networks,,
Fidor Bank,,
First Data,,
Fiserv,,
FootLocker,,
GE Healthcare,,
GEA Group,,
Golden Ocean Group,,
Golden Union,,
HCA,,
HITACHI-LG DATA STORAGE,,
Hexagon AB,,
Hitachi Vantara,,
IBIDEN,,
IHH Healthcare Bhd,,
Imagination,,Private
Imperva,,
Ingram Micro Holding Corporation,,
Integer Holdings  Corporation,,
Integer Holdings Corporation,,
Intersport,,
JBS,,
JSR株式會社,,
JX日鑛日石金屬株式會社(JX控股),,
JX金屬,,
KPMG,,
Kaneka,,
Karex Bhd,,
Kobo,,
Kontron,,
Kraft Heinz Company,,
L&F,,
LB Lusem,,
Lake Region Medical,,
Lemonade,,
Lusem,,
MAZAK,,
MLB,,
Mandiant,,
McKesson,,
MedSource,,
Meta Quest,,
Minebea,,
Monster Worldwide,,
Monzo,,
NBA,,
NCR Voyix,,
NHL,,
Nanogen,,
Napier,,
Nice Actimize,,
NuBank,,
OpenAI,,Private
PI Advanced Materials,,
PMC-Sierra,,
Phillips-Medisize,,
Phoenix,,
RSA Security,,
Radiant,,
Radysis,,
Resonac,,
SAS,,Private
SK microworks America,,
SKC Hi-Tech & Marketing,,
SKC KOLON PI,,
SPX Flow,,
Saurer Group,,
Schuler,,
Shinwha,,
Smart Modular Technologies,,
Smith & Nephew,,
Splunk,,Acquired
Star Bulk Carriers,,
Starling,,
Stripe,,Private
Stubhub,,
Subway,,Private
Sumitomo Bakelite,,
Supermicro,,
Synaptics,,
TD Ameritrade,,
TD SYNNEX,,
THK,,
Tata,,
TruNarrative,,
Trumpf,,
VisionTek,,
WISE,,
WONDERCORE,,
Wasserman,,
WeFox,,
Yelp,,
Youtube,,
anytime fitness,,
damai.cn,,
dm,,
eTORO,,
fitbit,,
lifefitness,,
peloton,,
planet fitness,,
technogym,,
七彩虹集团,,
三井金屬,,
三井高科技,,
三安光電,,
三星顯示器,,
三菱化學控股,,
三菱瓦斯化學,,
三電,,
上海醫藥集團,,
中國中藥,,
中國移動,,
中國聯合鋼鐵網,,
中國鐵路總公司,,
中遠海運散貨運輸有限公司,,
中遠海運集裝箱運輸有限公司,,
住友化學,,
住友金屬礦山,,
住友電氣工業,,
偉創力,,
健安喜,,
億創理財,,
優貝克集團,,
克拉斯,,
凌拓科技,,
凱斯,,
凸版印刷,,
利樂,,
勞勃·博世公司,,
勤美達國際,,
勤達睿,,
北京中聯鋼電子商務,,
北京卡路里科技,,
南韓永豐集團,,
博世力士樂,,
博思艾倫漢密爾頓控股公司,,
印孚瑟斯,,
印福思,,
古河電氣工業,,
吉鑫科技,,
品質集團,,
哈伯斯,,
喜星電子,,
嘉吉公司,,
嘉年華郵輪集團,,
國大藥房,,
國際商業機器股份有限公司,,
地中海航運公司,,
埃森哲,,
塔塔,,
大日本印刷,,
大福,,
天水華天,,
奇異,,
奧寶科技,,
威普羅,,
威騰電子,,
安士克精密,,
安富利,,
安海斯-布希英博集團,,
安費諾,,
安迅資訊,,
安麗,,
富士軟片,,
富智康,,
山德士,,
巧新科技工業,,
巴可,,
巴斯夫,,
巴諾書店,,
希捷科技,,
幣安,,Private
康達智,,
廣州醫藥集團,,
建滔化工,,
強鹿,,
得偉史坦萊,,
德國鐵路股份公司,,
德鐵信可,,
快桅,,
恆天然乳品,,
恵和株式會社,,
意達,,
愛爾康,,
愛特梅爾,,
愛生雅,,
挪威集團,,
捷普,,
捷邁醫療器材,,
攀時,,
支付寶,,Private
斗山集團,,
新光電氣,,
新帝公司,,
新日鐵住金化學,,
施耐德電機公司,,
日亞化,,Private
日本旗勝,,
日本東麗杜邦株式會社,,
日本特殊陶業株式會社,,
日本製鐵,,
日東紡,,
日立數據系統,,
日立樂金,,
旭化成化學株式會社,,
明尼蘇達礦業與製造公司,,
易格斯,,
昭和電工材料,,
普睿司曼,,
普萊克斯,,
杜邦,,
東京応化工業株式会社,,
東進,,
東電化,,
松下電工,,
林德集团,,
柏朗,,
柏能集團,,
柯惠醫療,,
格力,,
格科微電子,,
梯瓦製藥工業有限公司,,
森精機,,
樂金化學,,
歐司朗,,
歐文邁諾,,
江蘇吉鑫風能,,
沃爾格林,,
泰森食品,,
洋基運通,,
派特森,,
海思半導體,,Private
液化空氣集團,,
深圳普聯技術,,
漢瑞祥,,
瀋陽機床集團,,
環球韋爾,,
百勝餐飲集團,,
百靈,,
皇家加勒比海郵遊輪公司,,
益能達株式會社,,
瞻博網路,,
磐時,,
立達,,
立鎧,,
米蘭製藥,,
紫光,,
維布絡,,
羅賓遜全球物流有限公司,,
美信,,
美商安邁,,
美國航空,,
聯合太平洋鐵路,,
聯合航空,,
舜宇光學,,
艾克爾,,
艾睿電子,,
英國英運物流集團,,
荷商嘉柏微電子材料,,
莫仕,,
華為,,Private
萊萃美,,
蓝宝科技,,
蔡司,,
藝卓,,
記憶,,
豐創,,
豐田合成,,
豪威科技,,
豪雅,,
賽峰,,
近畿日本鉄道,,
迪卡儂,,Private
達美航空,,
達飛海運集團,,
邁克菲,,
邁創,,
邁圖,,
酷柏,,
金士頓,,
金百利克拉克,,
鎧俠株式會社,,
鑽石鏈條,,
長電科技,,
開利,,
開拓重工,,
阿徹丹尼爾斯米德蘭公司(糧商跟加工廠),,
阿特拉斯科普柯集團,,
隆利科技,,
電子海灣,,
首爾半導體,,
